Loss_mae,Threshold,Amostras,Anomaly,
0.08113241608557285,0.25,0.0,False,
0.0512165286548794,0.25,0.0,False,
0.06395714361484274,0.25,0.0,False,
0.07539588739407366,0.25,0.0,False,
0.06628034629391684,0.25,0.0,False,
0.03398450270451955,0.25,0.0,False,
0.10642481776715451,0.25,0.0,False,
0.11804735922388335,0.25,0.0,False,
0.04383545873144792,0.25,0.0,False,
0.14530852015653656,0.25,0.0,False,
0.031050451340168518,0.25,0.0,False,
0.6145083541254277,0.25,0.0,True,
0.14654662573171706,0.25,0.0,False,
1.1769552467889963,0.25,0.0,True,
0.0712582386705444,0.25,0.0,False,
0.1389945278212638,0.25,0.0,False,
1.0848924897962193,0.25,0.0,True,
0.10422025847721836,0.25,0.0,False,
0.06590801834093682,0.25,0.0,False,
0.05032160870246007,0.25,0.0,False,
0.08352862079016277,0.25,0.0,False,
0.0380540610587217,0.25,0.0,False,
0.08760738760540604,0.25,0.0,False,
0.12338084320727746,0.25,0.0,False,
0.25479333899976,0.25,0.0,True,
0.06955855410556237,0.25,0.0,False,
0.06203241584446066,0.25,0.0,False,
0.08745674021216834,0.25,0.0,False,
0.07184500924224357,0.25,0.0,False,
0.06852828042770594,0.25,0.0,False,
0.15814306324326016,0.25,0.0,False,
0.12439024822624059,0.25,0.0,False,
0.05372188517976478,0.25,0.0,False,
0.09734223438101461,0.25,0.0,False,
0.08115149978721652,0.25,0.0,False,
0.12821229415872987,0.25,0.0,False,
0.0552230171572939,0.25,0.0,False,
0.027191637343172658,0.25,0.0,False,
0.08572556962468594,0.25,0.0,False,
0.13904113285575964,0.25,0.0,False,
0.10654778680141708,0.25,0.0,False,
0.07519626861015496,0.25,0.0,False,
0.12045153979733203,0.25,0.0,False,
0.11891761490333892,0.25,0.0,False,
0.03931231527775508,0.25,0.0,False,
0.14159817586681028,0.25,0.0,False,
0.21447470135101848,0.25,0.0,False,
0.08732484115351584,0.25,0.0,False,
0.12468506498463863,0.25,0.0,False,
0.13646488922596783,0.25,0.0,False,
0.13836498742692888,0.25,0.0,False,
0.08189804918216889,0.25,0.0,False,
0.11442755530327715,0.25,0.0,False,
0.06619723557403287,0.25,0.0,False,
0.18604431630844664,0.25,0.0,False,
0.07532417148301565,0.25,0.0,False,
0.11332860419942362,0.25,0.0,False,
0.07791444640756279,0.25,0.0,False,
0.14505101229016792,0.25,0.0,False,
0.04999977959674774,0.25,0.0,False,
0.07421162705213792,0.25,0.0,False,
0.023911750438735068,0.25,0.0,False,
0.12901188876582995,0.25,0.0,False,
0.05015700837236958,0.25,0.0,False,
0.8302647840317319,0.25,0.0,True,
0.12157532779907654,0.25,0.0,False,
0.07665513088946262,0.25,0.0,False,
0.11399777896961502,0.25,0.0,False,
0.06416738416296205,0.25,0.0,False,
0.05315395150256434,0.25,0.0,False,
0.1210954546994751,0.25,0.0,False,
0.11456445467483933,0.25,0.0,False,
0.14391306588452446,0.25,0.0,False,
0.06778232785997264,0.25,0.0,False,
